total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,cityCenters_nearest,floor_category
33.8,1,2.56,9.0,17.6,6,False,False,False,7.5,1,14908.0,другой
31.5,1,2.5,5.0,16.4,2,False,False,False,5.4,1,10250.0,другой
51.0,2,2.6,10.0,30.0,6,False,False,False,8.7,0,10859.0,другой
53.0,3,2.55,9.0,35.3,9,False,False,False,6.3,0,14983.0,последний
55.7,3,2.6,5.0,36.3,3,False,False,False,5.7,0,9162.0,другой
120.0,3,2.75,20.0,63.0,18,False,False,False,16.0,5,10430.0,другой
76.3,2,2.745,21.0,35.3,14,False,False,False,14.0,1,14640.0,другой
66.0,3,2.7,16.0,38.91,13,False,False,False,9.91,5,8976.0,другой
92.2,4,2.77,11.0,69.24000000000001,10,False,False,False,12.0,1,9487.0,другой
33.54,1,2.65,12.0,15.85,5,False,False,False,10.15,0,19489.0,другой
66.0,3,2.6,9.0,43.9,7,False,False,False,8.8,1,13051.0,другой
86.0,3,2.75,16.0,47.0,16,False,False,False,12.0,4,13994.0,последний
51.4,1,2.7,14.0,18.0,9,False,False,False,15.0,2,12349.0,другой
38.2,1,2.7,17.0,17.2,3,False,False,False,10.4,0,12441.0,другой
33.6,1,2.75,4.0,14.5,3,False,False,False,8.9,0,12082.0,другой
64.3,2,3.0,8.0,34.6,4,False,False,False,11.2,5,4941.0,другой
47.0,2,2.55,9.0,30.0,8,False,False,False,6.3,0,17093.0,другой
49.9,2,2.5,5.0,30.5,5,False,False,False,6.6,4,15535.0,последний
68.9,2,3.0,6.0,47.0,4,False,False,False,10.0,0,2143.0,другой
60.0,2,2.8,5.0,43.0,1,False,False,False,8.0,0,5914.0,первый
60.0,2,2.6,3.0,37.0,2,False,False,False,7.0,0,1796.0,другой
46.3,2,3.0,5.0,27.8,5,False,False,False,8.0,0,9319.0,последний
60.0,2,2.7,18.0,33.0,4,False,False,False,14.0,0,22358.0,другой
50.8,2,2.5,5.0,30.3,5,False,False,False,6.7,0,14642.0,последний
60.0,2,2.8,16.0,31.7,11,False,False,False,10.5,0,10519.0,другой
44.5,2,2.5,9.0,27.8,6,False,False,False,8.1,0,10983.0,другой
58.6,3,2.5,5.0,44.3,5,False,False,False,6.0,0,15740.0,последний
64.3,2,2.6,10.0,34.6,10,False,False,False,11.4,0,4087.0,последний
60.0,3,2.7,9.0,41.2,6,False,False,False,6.0,0,12727.0,другой
57.2,2,2.76,17.0,32.9,3,False,False,False,11.7,2,15134.0,другой
31.4,1,2.5,5.0,17.0,3,False,False,False,5.5,1,12678.0,другой
75.0,2,3.0,4.0,34.8,2,False,False,False,10.0,0,4040.0,другой
146.8,4,3.5,5.0,110.4,2,False,False,False,10.5,0,4096.0,другой
39.1,1,2.6,16.0,16.0,7,False,False,False,11.0,1,9241.0,другой
39.0,1,2.75,12.0,20.0,7,False,False,False,10.0,0,15791.0,другой
95.8,2,2.55,9.0,53.0,3,False,False,False,18.0,2,4800.0,другой
110.0,4,2.72,5.0,84.5,5,False,False,False,7.7,0,2356.0,последний
65.0,2,2.7,16.0,38.9,13,False,False,False,10.7,0,11285.0,другой
54.0,2,2.7,16.0,31.0,10,False,False,False,10.0,2,12677.0,другой
43.1,1,2.7,17.0,20.4,9,False,False,False,10.8,0,15753.0,другой
44.8,2,2.52,7.0,28.6,7,False,False,False,5.7,0,9072.0,последний
75.1,3,2.9,6.0,44.3,1,False,False,False,18.2,0,2094.0,первый
46.0,1,2.6,10.0,18.3,5,False,False,False,13.4,0,15030.0,другой
100.0,3,3.16,4.0,47.0,3,False,False,False,32.0,0,1075.0,другой
69.5,2,2.75,19.0,33.0,3,False,False,False,11.7,2,4441.0,другой
160.0,5,2.6,5.0,100.0,4,False,False,False,36.0,0,13355.0,другой
66.0,3,2.5,12.0,41.6,1,False,False,False,10.7,2,17090.0,первый
49.0,3,2.6,5.0,35.0,4,False,False,False,6.0,0,13050.0,другой
79.0,3,3.0,6.0,52.4,6,False,False,False,8.7,0,4487.0,последний
48.0,1,2.76,22.0,14.0,5,False,False,False,23.8,0,15747.0,другой
44.7,2,2.5,5.0,31.44,1,False,False,False,5.42,0,14990.0,первый
68.11,3,2.8,18.0,51.0,6,False,False,False,13.75,3,4232.0,другой
87.0,3,3.2,10.0,46.9,2,False,False,False,11.0,0,4166.0,другой
35.6,1,2.75,25.0,15.4,21,False,False,False,10.4,2,10087.0,другой
58.0,3,2.56,9.0,40.0,4,False,False,False,6.3,3,12580.0,другой
135.0,6,2.7,12.0,90.0,1,False,False,False,15.0,0,16801.0,первый
45.1,1,2.68,25.0,19.2,21,False,False,False,12.3,2,9798.0,другой
132.0,4,3.2,4.0,88.0,3,False,False,False,13.0,3,11850.0,другой
47.0,2,2.75,17.0,30.0,15,False,False,False,6.0,2,14691.0,другой
31.6,1,2.6,14.0,15.0,9,False,False,False,10.0,2,16414.0,другой
39.0,1,2.64,18.0,18.5,7,False,False,False,12.3,0,14156.0,другой
34.5,1,2.75,20.0,15.8,17,False,False,False,8.2,1,21704.0,другой
44.0,2,2.6,5.0,28.0,1,False,False,False,6.0,0,8887.0,первый
52.0,2,2.6,5.0,31.0,2,False,False,False,6.0,0,6263.0,другой
57.0,2,2.5,16.0,30.0,11,False,False,False,7.2,2,10793.0,другой
44.0,1,2.8,16.0,17.3,14,False,False,False,11.1,0,12111.0,другой
77.0,3,2.6,10.0,50.0,3,False,False,False,19.0,0,7287.0,другой
79.7,3,2.55,16.0,60.0,3,False,False,False,20.0,2,14687.0,другой
60.0,2,2.75,25.0,37.0,8,False,False,False,10.0,1,13242.0,другой
45.5,1,2.8,21.0,20.1,3,False,False,False,12.5,2,15558.0,другой
45.0,2,2.6,5.0,27.0,3,False,False,False,6.5,0,8337.0,другой
38.0,1,2.7,18.0,17.0,10,False,False,False,10.0,0,9719.0,другой
58.0,3,2.55,9.0,39.5,7,False,False,False,6.5,1,15618.0,другой
46.0,1,2.65,12.0,18.8,5,False,False,False,20.0,0,3372.0,другой
35.2,1,2.5,13.0,16.8,9,False,False,False,6.9,0,12139.0,другой
39.0,1,2.65,25.0,18.4,21,False,False,False,9.5,2,10337.0,другой
33.2,1,2.5,7.0,16.2,3,False,False,False,7.0,1,11481.0,другой
66.0,3,2.7,15.0,39.0,12,False,False,False,9.0,0,14228.0,другой
50.0,1,3.0,17.0,17.0,7,False,False,False,12.0,0,14753.0,другой
51.0,2,2.6,9.0,30.0,1,False,False,False,10.0,0,13717.0,первый
75.5,3,2.75,19.0,40.4,3,False,False,False,12.9,0,15186.0,другой
43.0,1,2.77,24.0,19.0,13,False,False,False,11.0,2,14153.0,другой
93.0,4,3.0,5.0,70.0,2,False,False,False,10.0,0,3604.0,другой
88.0,3,2.8,25.0,52.3,11,False,False,False,13.1,4,16921.0,другой
66.3,2,2.7,13.0,36.0,4,False,False,False,12.35,2,6017.0,другой
38.3,1,2.7,16.0,17.2,11,False,False,False,12.2,0,9856.0,другой
62.0,3,2.6,9.0,42.2,7,False,False,False,6.0,2,14756.0,другой
69.0,3,2.6,9.0,49.0,2,False,False,False,6.0,0,10813.0,другой
59.1,3,2.55,9.0,37.9,6,False,False,False,7.0,1,13062.0,другой
60.0,3,2.55,9.0,43.3,9,False,False,False,6.3,2,15364.0,последний
45.5,2,2.51,5.0,31.0,2,False,False,False,6.0,1,9467.0,другой
160.0,4,3.1,16.0,89.11,10,False,False,False,21.22,0,8460.0,другой
30.0,1,2.7,14.0,16.0,1,False,False,False,8.5,0,14132.0,первый
38.0,1,2.8,16.0,17.3,9,False,False,False,10.4,2,14208.0,другой
45.0,1,2.95,8.0,17.9,8,False,False,False,11.9,0,5331.0,последний
45.5,2,2.55,9.0,28.5,7,False,False,False,7.0,2,13963.0,другой
40.0,1,2.5,17.0,26.0,3,False,False,False,8.0,0,10568.0,другой
60.3,2,3.25,5.0,36.9,4,False,False,False,5.8,4,4662.0,другой
45.26,1,2.6,10.0,20.13,8,False,False,False,10.68,0,10560.0,другой
38.0,1,2.64,18.0,16.0,14,False,False,False,9.0,0,12342.0,другой
243.0,5,2.6,5.0,145.0,4,False,False,False,33.0,0,555.0,другой
108.3,3,3.15,8.0,49.1,3,False,False,False,19.7,0,4624.0,другой
71.0,3,2.5,9.0,48.0,4,False,False,False,8.3,0,16106.0,другой
36.3,1,2.55,11.0,18.0,6,False,False,False,8.2,1,7257.0,другой
140.8,4,3.3,16.0,82.55,11,False,False,False,13.84,0,8460.0,другой
42.0,2,2.5,8.0,28.0,3,False,False,False,7.5,0,11904.0,другой
50.0,2,2.65,16.0,26.5,11,False,False,False,11.0,0,12471.0,другой
114.0,4,2.84,7.0,70.5,7,False,False,False,14.2,0,3411.0,последний
51.0,1,2.5,17.0,22.6,4,False,False,False,15.1,1,12020.0,другой
57.7,3,2.55,9.0,38.5,9,False,False,False,8.2,1,16407.0,последний
56.0,2,2.65,12.0,28.0,11,False,False,False,12.0,0,22265.0,другой
30.2,1,2.5,9.0,17.38,6,False,False,False,6.0,0,15643.0,другой
39.0,1,2.8,24.0,19.2,5,False,False,False,11.5,0,13073.0,другой
34.0,1,2.56,14.0,17.5,4,False,False,False,7.3,2,11581.0,другой
60.3,3,2.8,9.0,43.4,5,False,False,False,6.3,0,16317.0,другой
102.0,3,2.76,22.0,55.0,16,False,False,False,21.0,2,11879.0,другой
41.0,1,2.7,10.0,19.0,5,False,False,False,11.0,0,15902.0,другой
62.5,3,2.7,16.0,40.9,3,False,False,False,7.2,0,11901.0,другой
47.0,2,2.5,9.0,31.0,6,False,False,False,6.0,0,16270.0,другой
117.0,3,3.3,5.0,72.0,2,False,False,False,20.0,0,4183.0,другой
37.9,1,2.6,20.0,17.0,14,False,False,False,10.0,0,21467.0,другой
94.0,3,2.6,10.0,53.3,6,False,False,False,17.1,0,16952.0,другой
121.0,3,2.75,16.0,76.0,8,False,False,False,12.0,0,12843.0,другой
112.2,3,2.9,4.0,45.4,4,False,False,False,34.1,0,3453.0,последний
60.0,2,2.7,17.0,30.0,10,False,False,False,11.0,2,12670.0,другой
43.0,2,2.9,5.0,27.0,1,False,False,False,5.5,0,12991.0,первый
39.0,1,2.65,12.0,20.0,5,False,False,False,8.3,0,14648.0,другой
42.2,1,2.6,14.0,14.7,4,False,False,False,10.4,0,12102.0,другой
38.0,1,2.5,12.0,20.0,2,False,False,False,8.0,0,12997.0,другой
72.0,3,2.5,9.0,46.0,7,False,False,False,8.0,2,16779.0,другой
